系統編號,英文名稱,中文名稱,圖片,備註,更新時間
3192289,disk method,圓盤法　,,,2017/7/24
3192291,displacement,位移,,,2017/7/24
3192292,distance,距離,,,2017/7/24
3192293,distance formula,距離公式　,,,2017/7/24
3192294,distributive law,分配律,,,2017/7/24
3192295,divergence,發散[性]；散度； 發散量,,,2017/7/24
3192296,divergent sequence,發散序列,,,2017/7/24
3192297,divergent series,發散級數,,,2017/7/24
3192298,dividend,被除數；被除式,,,2017/7/24
3192299,division,除[法],,,2017/7/24
3192300,division algorithm,除法算則；長除法,,,2017/7/24
3192301,divisor,因子；因式；因數；除數,,,2017/7/24
3192302,domain,[區]域；定義域,,,2017/7/24
3192303,domain of definition,定義域,,,2017/7/24
3192304,domain of function　　　　　　,函數的定義域,,,2017/7/24
3192305,double angle formula,倍角公式,,,2017/7/24
3192306,double root,二重根,,,2017/7/24
3192307,edge,稜；邊,,,2017/7/24
3192308,element,元素,,,2017/7/24
3192309,elementary event,基本事件,,,2017/7/24
3192310,elimination by addition or subtraction,加減消去法,,,2017/7/24
3192311,elimination by comparison,比較消去法,,,2017/7/24
3192312,elimination by substitution,代入消去法,,,2017/7/24
3192313,ellipse,橢圓,,,2017/7/24
3192314,empty set,空集,,,2017/7/24
3192315,equation,方程[式],,,2017/7/24
3192316,equation of line,直線方程式,,,2017/7/24
3192317,equation of sphere,球面方程式　,,,2017/7/24
3192318,equation of tangent line,切線方程式,,,2017/7/24
3192319,equator,赤道　,,,2017/7/24
3192320,equilateral hyperbola,等軸雙曲線,,,2017/7/24
3192321,equilateral triangle,等邊三角形；正三角形,,,2017/7/24
3192322,Euclid(約330-275B.C),歐幾里得,,,2017/7/24
3192323,Euclidean algorithm,輾轉相除法；歐幾里得算法；歐氏算法,,,2017/7/24
3192324,Euclidean geometry,歐氏幾何[學],,,2017/7/24
3192325,even function,偶函數,,,2017/7/24
3192326,even number,偶數,,,2017/7/24
3192327,event,事件,,,2017/7/24
3192328,exclusive,互斥[的],,,2017/7/24
3192329,expectation,期望值,,,2017/7/24
3192330,expected value,期望值,,,2017/7/24
3192331,experiment,試驗；實驗,,,2017/7/24
3192332,exponential function　　　　　,指數函數,,,2017/7/24
3192333,exponential law,指數律,,,2017/7/24
3192334,exponent　　　　　　　　　　　　,指數；指標,,,2017/7/24
3192335,exterior,外部；外部的,,,2017/7/24
3192336,exterior angle,外角,,,2017/7/24
3192337,extreme value,極值,,,2017/7/24
3192338,factor,因數；因式；因子；因素；商,,,2017/7/24
3192339,factor theorem,因式定理,,,2017/7/24
3192340,factorial,階乘；析因,,,2017/7/24
3192341,factorization,因子分解；因式分解,,,2017/7/24
3192342,feasible region　,可行解區域,,,2017/7/24
3192343,feasible solution,可行解；容許解,,,2017/7/24
3192344,Fermat theorem　,費馬定理　,,,2017/7/24
3192345,finishing point,終點,,,2017/7/24
3192346,finite decimal,有限小數,,,2017/7/24
3192347,finite sequence,有限序列；有限數列,,,2017/7/24
3192348,finite series,有限級數,,,2017/7/24
3192349,finite set,有限集,,,2017/7/24
3192350,first octant,第一卦限,,,2017/7/24
3192351,first quartile,第一四分位數,,,2017/7/24
3192352,first term,首項,,,2017/7/24
3192353,focal chord,焦弦,,,2017/7/24
3192354,focal length,焦距,,,2017/7/24
3192355,focal radius,焦半徑,,,2017/7/24
3192356,focus,焦點,,,2017/7/24
3192357,formula of changing bases,換底公式　,,,2017/7/24
3192358,formula of inner division point,內分點公式,,,2017/7/24
3192359,formula of outer division point,外分點公式,,,2017/7/24
3192360,four fundamental operations of arithmetic,算術四則運算,,,2017/7/24
3192361,fraction,分數；分式,,,2017/7/24
3192362,fraction in lowest term,最簡分數,,,2017/7/24
3192363,frequency distribution,次數分布；次數分配,,,2017/7/24
3192364,function,函數；功能；作用,,,2017/7/24
3192365,functional value,函數值,,,2017/7/24
3192366,fundamental theorem of algebra,代數基本定理,,,2017/7/24
3192367,fundamental theorem of calculus,微積分基本定理　,,,2017/7/24
3192368,Gaussian elimination,高斯消去法,,,2017/7/24
3192369,Gaussian function,高斯函數,,,2017/7/24
3192370,Gaussian plane,高斯平面,,,2017/7/24
3192371,general term,通項；一般項,,,2017/7/24
3192372,generalized angle　　　　　　　,廣義角　,,,2017/7/24
